,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comprehensive_care,comprehensive_support
174,2,1,No,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,Yes_Yes,Yes_No
175,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
176,1,0,No,No,No,Never,100-1000,No,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,No_Not sure,No_Yes
177,2,1,No,No,Yes,Often,6-25,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,Yes_Not sure,Don't know_Don't know
178,3,1,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,Yes_No,No_No
179,2,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Don't know,No,Don't know_No,No_No
180,1,0,No,No,No,Never,6-25,Yes,Yes,No,Don't know,Maybe,Maybe,No,Yes,Maybe,Yes,No,No,No_No,No_No
181,0,1,Yes,No,No,Sometimes,6-25,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,No_No,No_No
182,1,1,No,No,No,Never,26-100,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Don't know_No,No_Don't know
183,3,0,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,No,Don't know,No,Don't know_Not sure,Don't know_Don't know
184,3,0,No,Yes,Yes,Often,More than 1000,Yes,Yes,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No,Yes_Not sure,No_Don't know
185,3,0,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,Yes,No,Some of them,No,Maybe,Yes,No,No,Yes_No,No_No
186,0,0,No,No,No,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No,Don't know_No,No_Don't know
187,0,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No,No_Yes,No_No
188,0,0,No,Yes,No,Never,1-5,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Don't know_No,No_No
189,2,1,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Somewhat easy,Maybe,No,No,No,No,No,Don't know,No,Yes_Not sure,Don't know_No
190,3,1,Yes,Yes,Yes,Often,1-5,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes,No_Yes,No_No
191,1,0,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No,Yes_No,No_No
192,1,0,No,No,No,Sometimes,26-100,No,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,No_No,No_No
193,2,0,No,No,Yes,Rarely,6-25,No,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,No_No,No_No
194,2,1,No,No,No,Sometimes,100-1000,No,Yes,Don't know,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes,No_No,No_No
195,1,0,Yes,Yes,No,Never,6-25,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,No_No,No_No
196,2,1,No,No,No,Never,100-1000,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Don't know_Not sure,No_No
197,0,0,No,No,No,Rarely,More than 1000,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,Yes_No,No_No
198,0,0,No,Yes,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,Yes_Yes,No_No
199,1,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,Don't know_No,No_No
200,0,1,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,Yes_No,No_No
201,2,1,No,No,Yes,Sometimes,100-1000,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Yes_Yes
202,3,0,No,No,Yes,Often,6-25,Yes,Yes,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,No_Not sure,No_No
203,3,0,No,No,No,Sometimes,1-5,No,Yes,Don't know,Very difficult,Yes,No,No,No,No,Yes,Don't know,No,No_Yes,No_No
204,2,0,No,Yes,No,Never,100-1000,Yes,Yes,Don't know,Very easy,No,No,Yes,Yes,No,No,Yes,No,Don't know_No,Don't know_Don't know
205,2,0,No,Yes,Yes,Sometimes,100-1000,Yes,Yes,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,Don't know_Not sure,No_No
206,0,0,No,No,Yes,Sometimes,6-25,Yes,Yes,Don't know,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,No_Yes,No_No
207,1,0,No,No,Yes,Often,26-100,No,Yes,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,No_Yes,No_No
208,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_Not sure,No_Don't know
209,0,0,No,No,No,Never,100-1000,No,Yes,No,Very easy,Yes,Maybe,No,No,No,Maybe,Don't know,No,No_No,No_No
210,3,1,No,No,No,Never,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Yes_Yes
211,3,0,No,Yes,No,Sometimes,26-100,No,No,Don't know,Don't know,Yes,Maybe,Some of them,Yes,No,Maybe,Don't know,No,No_No,No_No
212,0,0,Yes,No,Yes,Often,1-5,Yes,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,No_No,No_No
213,2,1,No,Yes,Yes,Sometimes,6-25,No,Yes,No,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes,Don't know_No,No_No
214,2,1,No,No,Yes,Sometimes,100-1000,No,No,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,Yes_Yes,Don't know_Don't know
215,0,1,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Don't know,Very difficult,No,No,Some of them,No,No,No,Don't know,No,No_No,Don't know_Don't know
216,1,0,Yes,No,Yes,Often,6-25,Yes,Yes,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Yes_Yes,No_No
217,1,0,Yes,No,No,Never,6-25,No,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,Yes_Yes,No_Don't know
218,1,1,No,No,Yes,Never,100-1000,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,No,No,No,Don't know,No,Yes_No,No_Don't know
219,3,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,Yes,No,No,Some of them,No,No,Don't know,No,Yes_Not sure,No_No
220,2,1,No,No,No,Never,6-25,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Yes_No,No_No
221,2,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,Don't know_No,No_No
222,1,0,No,No,No,Rarely,6-25,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,Don't know_No,No_No
223,1,0,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No,No_Yes,No_No
224,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,No,Yes,No,Yes,Yes,No,Don't know_Not sure,Don't know_Don't know
225,0,0,No,No,No,Never,1-5,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,Don't know_No,Don't know_No
226,2,0,No,No,No,Rarely,1-5,Yes,Yes,Don't know,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,No_Yes,No_No
227,2,0,Yes,No,No,Sometimes,1-5,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No,Don't know_Not sure,Yes_Yes
228,0,0,No,No,No,Never,6-25,No,Yes,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No,Yes_Not sure,No_Don't know
229,0,0,Yes,No,Yes,Sometimes,1-5,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,No_Yes,No_No
230,2,0,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Yes_No,No_Yes
231,3,0,No,No,Yes,Rarely,100-1000,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,Yes_Yes,No_Don't know
232,3,0,No,No,Yes,Sometimes,More than 1000,No,No,Don't know,Very difficult,Yes,No,No,No,No,Maybe,No,No,Don't know_Not sure,Don't know_Don't know
233,3,0,No,No,No,Sometimes,26-100,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,Don't know_Not sure,No_Don't know
234,1,0,No,No,No,Never,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,No,Yes,No,Don't know_No,Don't know_Don't know
235,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No,No_No,No_No
236,3,0,No,Yes,Yes,Often,26-100,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Yes_Yes,No_Don't know
237,2,0,No,Yes,No,Never,6-25,No,Yes,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes,No_No,No_No
238,3,1,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Yes_Yes,Yes_Yes
239,1,1,No,Yes,Yes,Sometimes,6-25,No,No,Yes,Don't know,No,No,Some of them,Yes,No,No,No,Yes,Yes_Yes,Yes_Yes
240,0,0,No,No,No,Never,6-25,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,Don't know_No,No_No
241,2,0,No,Yes,Yes,Sometimes,1-5,No,Yes,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,No_No,No_No
242,2,0,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Yes_Yes,Yes_Yes
243,0,0,No,No,No,Never,6-25,No,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No,No_No,No_No
244,0,0,No,No,No,Never,More than 1000,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Yes,Don't know_Don't know
245,3,0,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Don't know,Yes,Maybe,No,No,No,Maybe,No,Yes,Yes_Yes,Yes_Yes
246,0,0,No,No,Yes,Often,6-25,No,No,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Don't know_No,No_Don't know
247,1,0,No,No,No,Never,6-25,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,No_No,No_No
248,2,0,No,Yes,Yes,Sometimes,1-5,Yes,Yes,Don't know,Don't know,Maybe,No,Yes,Yes,No,Yes,Don't know,No,No_No,No_No
249,1,1,No,Yes,Yes,Rarely,100-1000,Yes,No,Yes,Don't know,Maybe,No,Some of them,No,Maybe,Yes,Don't know,No,Yes_Yes,Yes_Don't know
250,0,0,No,Yes,Yes,Sometimes,26-100,Yes,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No,Don't know_No,No_Don't know
251,1,0,No,Yes,No,Never,100-1000,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes,Yes_No,No_Don't know
252,1,0,No,Yes,Yes,Rarely,100-1000,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Yes_Yes,Yes_Don't know
253,0,0,No,No,No,Never,100-1000,No,No,No,Very easy,Maybe,Maybe,Yes,Yes,No,No,Don't know,No,Don't know_Not sure,Don't know_Don't know
254,0,0,No,No,No,Sometimes,6-25,No,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Don't know_No,Don't know_Don't know
255,1,0,No,No,No,Often,6-25,No,Yes,Don't know,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No,No_No,No_No
256,0,1,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,Don't know_Not sure,Don't know_Don't know
257,3,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,No_Yes,No_Yes
258,0,0,No,No,No,Never,1-5,No,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Yes,No,No,No_No,No_No
259,0,0,No,Yes,Yes,Often,6-25,No,Yes,No,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes,No_Yes,No_No
260,0,1,No,No,Yes,Rarely,6-25,No,Yes,Yes,Don't know,Maybe,Maybe,Yes,No,No,Maybe,Don't know,No,Yes_No,No_No
261,0,0,No,No,No,Sometimes,6-25,Yes,Yes,No,Very difficult,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,No_Yes,No_No
262,1,0,No,No,Yes,Sometimes,100-1000,Yes,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe,No,Yes,No,Yes_Yes,No_Yes
263,1,0,No,Yes,Yes,Rarely,6-25,No,Yes,Yes,Very difficult,Maybe,No,Some of them,Some of them,No,Yes,No,No,No_Yes,No_No
264,3,0,Yes,No,No,Never,6-25,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,Yes,Don't know,No,No_Not sure,No_No
265,2,0,No,No,No,Never,6-25,No,Yes,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,No_Yes,No_Don't know
266,3,0,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes_Yes,Don't know_No
267,2,0,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,Don't know,Very easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes,Don't know_Not sure,Don't know_Don't know
268,3,1,No,Yes,Yes,Often,26-100,No,Yes,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Yes_Yes,No_No
269,2,0,No,No,No,Never,6-25,Yes,Yes,Don't know,Very easy,No,No,Yes,Yes,No,No,Don't know,No,No_No,No_No
270,1,0,Yes,No,No,Sometimes,1-5,Yes,Yes,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,No,No,No_No,No_No
271,0,1,No,Yes,Yes,Never,100-1000,No,No,Yes,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_No,Don't know_Don't know
272,1,0,No,No,No,Never,More than 1000,No,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Yes_Yes
273,2,0,No,No,No,Sometimes,26-100,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,Yes,Some of them,No,No,Don't know,No,No_Yes,No_No
274,3,0,No,No,Yes,Rarely,26-100,Yes,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,Yes_No,No_No
275,2,0,No,No,No,Never,100-1000,No,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Yes_No,Yes_Yes
276,2,0,No,No,No,Never,26-100,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Yes_No,No_No
277,1,0,No,No,No,Sometimes,6-25,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,No_Yes,No_No
278,1,0,No,No,Yes,Rarely,100-1000,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,No,Yes,No,Yes_Yes,Yes_Don't know
279,0,0,No,Yes,No,Sometimes,100-1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,No,No,Don't know_No,No_Don't know
280,0,0,Yes,Yes,Yes,Sometimes,6-25,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,No,Yes,Don't know_Not sure,Yes_Yes
281,0,0,No,No,No,Never,6-25,No,Yes,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,No_No,No_No
282,0,0,No,No,Yes,Sometimes,6-25,No,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Don't know_No,No_Don't know
283,2,0,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,Don't know,No,Yes_Yes,No_No
284,0,0,No,No,No,Never,100-1000,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No,Yes,No,No,Don't know_Not sure,No_No
285,0,0,No,Yes,Yes,Sometimes,6-25,No,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,No_No,No_No
286,0,1,No,Yes,Yes,Rarely,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Yes_Not sure,Don't know_Don't know
287,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Don't know_Not sure,Don't know_Don't know
288,3,1,No,No,Yes,Sometimes,1-5,No,Yes,Don't know,Don't know,No,Maybe,Some of them,No,No,No,Don't know,Yes,No_Yes,No_No
289,0,1,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,No,Don't know,No,Yes_Yes,Yes_Don't know
290,1,0,Yes,No,No,Never,1-5,No,Yes,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,No_No,No_No
291,2,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,Don't know_No,No_Don't know
292,3,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Yes_Yes,Don't know_Don't know
293,2,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Yes_No,No_Don't know
294,3,0,No,No,Yes,Never,More than 1000,No,Yes,Don't know,Don't know,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No,Yes_Not sure,Don't know_Don't know
295,0,1,No,No,No,Never,100-1000,No,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,No,No,Don't know_Not sure,No_Don't know
296,1,1,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,Yes_Yes,Yes_Don't know
297,3,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_No,Don't know_Yes
298,2,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Yes_No,Yes_Yes
299,3,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Yes_Yes,Yes_Yes
300,0,1,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Yes,No,Yes_Yes,Yes_Yes
301,1,1,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Yes_Not sure,Don't know_Don't know
302,0,0,No,No,No,Rarely,100-1000,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Yes_Not sure,No_Don't know
303,1,1,No,Yes,Yes,Often,100-1000,Yes,No,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Yes_Yes
304,3,1,No,No,Yes,Rarely,More than 1000,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Yes_Yes,Don't know_Yes
305,0,0,No,Yes,Yes,Often,6-25,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Yes_No,No_Don't know
306,1,2,No,Yes,Yes,Rarely,26-100,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Don't know,No,Yes_Not sure,No_No
307,0,0,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,Yes,No_No,No_No
308,0,0,No,No,No,Never,26-100,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Don't know_Not sure,No_Don't know
309,0,0,No,No,No,Sometimes,100-1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Yes_Not sure,Yes_Yes
310,0,0,No,No,Yes,Often,6-25,Yes,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Don't know,No,Don't know_No,No_Don't know
311,2,0,No,No,Yes,Rarely,100-1000,No,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Yes_Not sure,Don't know_Yes
312,2,0,Yes,No,Yes,Never,1-5,No,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,No_Yes,No_No
313,0,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Yes,No,No,No,No,No,No,No,Yes_Not sure,No_Don't know
314,0,0,No,Yes,No,Never,More than 1000,No,Yes,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Don't know_No,Don't know_Don't know
315,1,0,No,No,No,Never,6-25,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Don't know_Not sure,No_Don't know
316,1,0,No,No,No,Never,100-1000,No,No,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Don't know_Not sure,No_Don't know
317,0,0,No,No,No,Never,More than 1000,No,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Yes,Yes_Yes
318,0,1,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes,Yes_Yes,Yes_Yes
319,1,0,No,No,No,Never,26-100,No,Yes,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,No_Yes,No_No
320,3,0,No,Yes,Yes,Rarely,100-1000,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Yes,Don't know_Yes
321,1,0,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No,Maybe,No,No,Yes_No,No_Don't know
322,2,0,No,No,No,Never,100-1000,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Yes_Not sure,Don't know_Yes
323,0,1,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Yes_Yes,No_Yes
324,0,0,No,No,Yes,Rarely,6-25,No,Yes,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Yes_No,Don't know_No
325,0,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Don't know_Not sure,Don't know_Don't know
326,1,1,No,No,No,Never,More than 1000,No,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,Don't know,No,Yes_Yes,Yes_Yes
327,0,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,Don't know_Not sure,Don't know_Yes
328,1,0,Yes,No,No,Never,1-5,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,No_Yes,No_No
329,2,0,Yes,Yes,Yes,Rarely,1-5,No,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes,No_No,No_No
330,0,0,No,No,No,Never,26-100,No,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Yes_Not sure,Yes_Yes
331,0,0,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,No,Yes_Yes,No_Don't know
332,1,0,No,No,No,Never,100-1000,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No,Don't know_No,No_No
333,3,0,Yes,No,Yes,Often,1-5,No,Yes,Don't know,Very difficult,No,No,No,No,No,No,Don't know,No,No_No,No_No
334,1,0,No,No,No,Never,6-25,Yes,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No,No_Yes,No_No
335,3,0,No,No,No,Never,26-100,No,Yes,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Yes_Not sure,Yes_Don't know
336,1,0,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Don't know_No,No_Don't know
337,1,1,Yes,No,No,Sometimes,More than 1000,No,Yes,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Yes_Not sure,Don't know_No
338,0,0,No,No,No,Never,More than 1000,No,Yes,Yes,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Yes_Yes,Don't know_Don't know
339,1,0,No,No,No,Never,26-100,No,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Yes_Yes,Yes_Yes
340,2,0,No,No,No,Never,26-100,No,No,Don't know,Don't know,No,No,Yes,Yes,No,No,No,No,Don't know_Not sure,No_Don't know
341,2,1,No,Yes,No,Sometimes,26-100,Yes,Yes,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,No_Yes,No_No
342,0,0,No,No,No,Sometimes,More than 1000,No,Yes,Don't know,Very easy,Yes,No,No,No,No,Maybe,No,No,Don't know_Not sure,Don't know_Don't know
343,2,0,No,No,No,Never,More than 1000,No,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Don't know_Not sure,Don't know_Don't know
344,2,0,No,No,No,Rarely,1-5,Yes,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,No,No,Don't know_No,No_No
345,0,1,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Yes_Yes,No_No
346,0,0,No,Yes,Yes,Sometimes,100-1000,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,Don't know_No,No_No
